generation,avg_fitness,highest_fitness,lowest_fitness
0,11.400000000000002,20.6,6.4
1,16.020000000000003,20.6,6.4
2,13.410000000000002,20.6,6.4
3,13.389999999999997,20.6,6.4
4,16.02,20.6,6.4
5,14.73,20.6,6.4
6,16.770000000000003,20.6,6.4
7,15.41,20.6,6.4
8,16.75,20.6,6.4
9,14.670000000000002,20.6,6.4
10,13.319999999999999,20.6,6.4
11,16.06,20.6,6.4
12,13.38,20.6,6.4
13,12.620000000000001,20.6,6.4
14,12.65,20.6,6.4
15,15.45,20.6,6.4
16,16.11,20.6,6.4
17,16.830000000000002,20.6,6.4
18,16.110000000000003,20.6,6.4
19,17.5,20.6,6.4
20,14.060000000000002,20.6,6.4
21,11.97,20.6,6.4
22,13.4,20.6,6.4
23,14.070000000000002,20.6,6.4
24,16.160000000000004,20.6,6.4
25,14.77,20.6,6.4
26,12.020000000000001,20.6,6.4
27,13.45,20.6,6.4
28,12.779999999999998,20.6,6.4
29,14.840000000000003,20.6,6.4
30,16.26,20.6,6.4
31,17.020000000000003,20.6,6.4
32,14.920000000000002,20.6,6.4
33,15.559999999999997,20.6,6.4
34,14.23,20.6,6.4
35,14.16,20.6,6.4
36,16.91,20.6,6.4
37,15.52,20.6,6.4
38,14.16,20.6,6.4
39,13.420000000000002,20.6,6.4
40,12.760000000000002,20.6,6.4
41,15.59,20.6,6.4
42,13.51,20.6,6.4
43,14.900000000000002,20.6,6.4
44,17.050000000000004,20.6,6.4
45,14.790000000000001,20.6,6.4
46,13.429999999999998,20.6,6.4
47,12.72,20.6,6.4
48,16.910000000000004,20.6,6.4
49,14.800000000000006,20.6,6.4
50,14.1,20.6,6.4
51,14.149999999999997,20.6,6.4
52,13.38,20.6,6.4
53,13.4,20.6,6.4
54,14.869999999999996,20.6,6.4
55,15.529999999999998,20.6,6.4
56,16.26,20.6,6.4
57,12.139999999999999,20.6,6.4
58,15.63,20.6,6.4
59,14.88,20.6,6.4
60,17.690000000000005,20.6,6.4
61,12.820000000000002,20.6,6.4
62,14.25,20.6,6.4
63,14.929999999999998,20.6,6.4
64,16.520000000000003,20.6,6.4
65,17.01,20.6,6.4
66,16.330000000000005,20.6,6.4
67,16.990000000000002,20.6,6.4
68,17.000000000000004,20.6,6.4
69,17.730000000000004,20.6,6.4
70,14.84,20.6,6.4
71,12.700000000000001,20.6,6.4
72,10.620000000000001,20.6,6.4
73,11.35,20.6,6.4
74,14.87,20.6,6.4
75,15.63,20.6,6.4
76,16.330000000000005,20.6,6.4
77,16.980000000000004,20.6,6.4
78,13.520000000000001,20.6,6.4
79,15.620000000000005,20.6,6.4
80,12.01,20.6,6.4
81,16.14,20.6,6.4
82,14.960000000000003,20.6,6.4
83,13.48,20.6,6.4
84,12.080000000000002,20.6,6.4
85,14.819999999999999,20.6,6.4
86,14.219999999999999,20.6,6.4
87,16.35,20.6,6.4
88,14.929999999999998,20.6,6.4
89,15.059999999999999,20.6,6.4
90,12.78,20.6,6.4
91,17.690000000000005,20.6,6.4
92,13.49,20.6,6.4
93,11.41,20.6,6.4
94,16.330000000000005,20.6,6.4
95,14.969999999999999,20.6,6.4
96,17.790000000000003,20.6,6.4
97,16.37,20.6,6.4
98,16.35,20.6,6.4
99,19.840000000000003,20.6,6.6
100,14.24,20.6,6.4
101,17.69,20.6,6.4
102,14.080000000000002,20.6,6.4
103,13.430000000000001,20.6,6.4
104,16.300000000000004,20.6,6.4
105,16.36,20.6,6.4
106,14.239999999999998,20.6,6.4
107,11.44,20.6,6.4
108,13.530000000000001,20.6,6.4
109,16.37,20.6,6.6
110,16.279999999999998,20.6,6.4
111,15.610000000000003,20.6,6.4
112,16.28,20.6,6.4
113,14.890000000000004,20.6,6.4
114,17.730000000000004,20.6,6.4
115,14.219999999999999,20.6,6.4
116,16.970000000000006,20.6,6.4
117,16.990000000000002,20.6,6.4
118,17.07,20.6,6.4
119,14.919999999999998,20.6,6.4
120,16.380000000000003,20.6,6.4
121,14.929999999999998,20.6,6.4
122,14.23,20.6,6.4
123,11.43,20.6,6.4
124,14.259999999999996,20.6,6.4
125,14.219999999999999,20.6,6.4
126,16.339999999999996,20.6,6.4
127,15.670000000000002,20.6,6.4
128,17.050000000000004,20.6,6.4
129,18.490000000000002,20.6,6.4
130,12.760000000000002,20.6,6.4
131,14.16,20.6,6.4
132,14.05,20.6,6.4
133,13.419999999999998,20.6,6.4
134,15.439999999999998,20.6,6.4
135,14.819999999999999,20.6,6.4
136,14.76,20.6,6.4
137,14.790000000000003,20.6,6.4
138,16.18,20.6,6.4
139,14.770000000000005,20.6,6.4
140,13.420000000000002,20.6,6.4
141,14.75,20.6,6.4
142,13.52,20.6,6.4
143,16.270000000000003,20.6,6.4
144,14.180000000000001,20.6,6.4
145,16.920000000000005,20.6,6.4
146,15.59,20.6,6.4
